Theta,Phi,Value
2.04204,1.33518,0
2.04204,1.41372,0
2.04204,1.49226,0
2.04204,1.5708,0
2.04204,1.64934,0
2.04204,1.72788,0
2.04204,1.80642,0
2.04204,1.88496,0
2.04204,1.9635,0
2.04204,2.04204,0
2.04204,2.12058,0
2.04204,2.19911,0
2.04204,2.27765,0
2.04204,2.35619,0
2.04204,2.43473,-0
2.04204,2.51327,-0
2.04204,2.59181,-0
2.04204,2.67035,-0
2.04204,2.74889,-0
2.04204,2.82743,-0
2.04204,2.90597,-0
2.04204,2.98451,-0
2.04204,3.06305,-0
2.04204,3.14159,-0
2.19911,0,0.00132779
2.19911,0.0785398,0.00115462
2.19911,0.15708,0.00104101
2.19911,0.235619,0.000766993
2.19911,0.314159,0.000659209
2.19911,0.392699,0.000416358
2.19911,0.471239,0.00027858
2.19911,0.549779,0.000196279
2.19911,0.628319,9.66442e-05
2.19911,0.706858,0
2.19911,0.785398,0
2.19911,0.863938,0
2.19911,0.942478,0
2.19911,1.02102,0
2.19911,1.09956,0
2.19911,1.1781,0
2.19911,1.25664,0
2.19911,1.33518,0
2.19911,1.41372,0
2.19911,1.49226,0
2.19911,1.5708,0
2.19911,1.64934,0
2.19911,1.72788,0
2.19911,1.80642,0
2.19911,1.88496,0
2.19911,1.9635,0
2.19911,2.04204,0
2.19911,2.12058,0
2.19911,2.19911,0
2.19911,2.27765,0
2.19911,2.35619,0
2.19911,2.43473,0
2.19911,2.51327,0
2.19911,2.59181,0
2.19911,2.67035,0
2.19911,2.74889,0
2.19911,2.82743,0
2.19911,2.90597,0
2.19911,2.98451,0
2.19911,3.06305,0
2.19911,3.14159,0
2.35619,0,0.00555956
2.35619,0.0785398,0.00509437
2.35619,0.15708,0.00462885
2.35619,0.235619,0.00372496
2.35619,0.314159,0.00286131
2.35619,0.392699,0.00205054
2.35619,0.471239,0.00130102
2.35619,0.549779,0.000617149
2.35619,0.628319,0.000299008
2.35619,0.706858,0
2.35619,0.785398,0
2.35619,0.863938,0
2.35619,0.942478,0
2.35619,1.02102,0
2.35619,1.09956,0
2.35619,1.1781,0
2.35619,1.25664,0
2.35619,1.33518,0
2.35619,1.41372,0
2.35619,1.49226,0
2.35619,1.5708,0
2.35619,1.64934,0
2.35619,1.72788,0
2.35619,1.80642,0
2.35619,1.88496,0
2.35619,1.9635,0
2.35619,2.04204,0
2.35619,2.12058,0
2.35619,2.19911,0
2.35619,2.27765,0
2.35619,2.35619,0
2.35619,2.43473,0
2.35619,2.51327,0
2.35619,2.59181,0
2.35619,2.67035,0
2.35619,2.74889,0
2.35619,2.82743,0
2.35619,2.90597,0
2.35619,2.98451,0
2.35619,3.06305,0
2.35619,3.14159,0
2.51327,0,0
2.51327,0.0785398,0.00843783
2.51327,0.15708,0.00764949
2.51327,0.235619,0.0056882
2.51327,0.314159,0.0049531
2.51327,0.392699,0.00318214
2.51327,0.471239,0.00217478
2.51327,0.549779,0.00100139
2.51327,0.628319,0.000757135
2.51327,0.706858,0
2.51327,0.785398,0
2.51327,0.863938,0
2.51327,0.942478,0
2.51327,1.02102,0
2.51327,1.09956,0
2.51327,1.1781,0
2.51327,1.25664,0
2.51327,1.33518,0
2.51327,1.41372,0
2.51327,1.49226,0
2.51327,1.5708,0
2.51327,1.64934,0
2.51327,1.72788,0
2.51327,1.80642,0
2.51327,1.88496,0
2.51327,1.9635,0
2.51327,2.04204,0
2.51327,2.12058,0
2.51327,2.19911,0
2.51327,2.27765,0
2.51327,2.35619,0
2.51327,2.43473,0
2.51327,2.51327,0
2.51327,2.59181,0
