Theta,Phi,Value
2.35619,2.27765,0
2.35619,2.35619,0
2.35619,2.43473,0
2.35619,2.51327,0
2.35619,2.59181,0
2.35619,2.67035,0
2.35619,2.74889,0
2.35619,2.82743,0
2.35619,2.90597,0
2.35619,2.98451,0
2.35619,3.06305,0
2.35619,3.14159,0
2.51327,0,0
2.51327,0.0785398,0.489849
2.51327,0.15708,0.432306
2.51327,0.235619,0.36004
2.51327,0.314159,0.305389
2.51327,0.392699,0.305389
2.51327,0.471239,0.238193
2.51327,0.549779,0.191106
2.51327,0.628319,0.107667
2.51327,0.706858,0.060263
2.51327,0.785398,0.060263
2.51327,0.863938,0.018945
2.51327,0.942478,0
2.51327,1.02102,0
2.51327,1.09956,0
2.51327,1.1781,0
2.51327,1.25664,0
2.51327,1.33518,0
2.51327,1.41372,0
2.51327,1.49226,0
2.51327,1.5708,0
2.51327,1.64934,0
2.51327,1.72788,0
2.51327,1.80642,0
2.51327,1.88496,0
2.51327,1.9635,0
2.51327,2.04204,0
2.51327,2.12058,0
2.51327,2.19911,0
2.51327,2.27765,0
2.51327,2.35619,0
2.51327,2.43473,0
2.51327,2.51327,0
2.51327,2.59181,0
2.51327,2.67035,0
2.51327,2.74889,0
2.51327,2.82743,0
2.51327,2.90597,0
2.51327,2.98451,0
2.51327,3.06305,0
2.51327,3.14159,0
2.67035,0,0
2.67035,0.0785398,0.633891
2.67035,0.15708,0.62005
2.67035,0.235619,0.417192
2.67035,0.314159,0.342866
2.67035,0.392699,0.324513
2.67035,0.471239,0.253762
2.67035,0.549779,0.205823
2.67035,0.628319,0.146847
2.67035,0.706858,0.0947462
2.67035,0.785398,0.049118
2.67035,0.863938,0
2.67035,0.942478,0
2.67035,1.02102,0
2.67035,1.09956,0
2.67035,1.1781,0
2.67035,1.25664,0
2.67035,1.33518,0
2.67035,1.41372,0
2.67035,1.49226,0
2.67035,1.5708,0
2.67035,1.64934,0
2.67035,1.72788,0
2.67035,1.80642,0
2.67035,1.88496,0
2.67035,1.9635,0
2.67035,2.04204,0
2.67035,2.12058,0
2.67035,2.19911,0
2.67035,2.27765,0
2.67035,2.35619,0
2.67035,2.43473,0
2.67035,2.51327,0
2.67035,2.59181,0
2.67035,2.67035,0
2.67035,2.74889,0
2.67035,2.82743,0
2.67035,2.90597,0
2.67035,2.98451,0
2.67035,3.06305,0
2.67035,3.14159,0
2.82743,0,0
2.82743,0.0785398,0.62005
2.82743,0.15708,0.62005
2.82743,0.235619,0.459165
2.82743,0.314159,0.380793
2.82743,0.392699,0.360501
2.82743,0.471239,0.285794
2.82743,0.549779,0.246462
2.82743,0.628319,0.18279
2.82743,0.706858,0.126823
2.82743,0.785398,0.0655431
2.82743,0.863938,0.0536161
2.82743,0.942478,0
2.82743,1.02102,0
2.82743,1.09956,0
2.82743,1.1781,0
2.82743,1.25664,0
2.82743,1.33518,0
2.82743,1.41372,0
2.82743,1.49226,0
2.82743,1.5708,0
2.82743,1.64934,0
2.82743,1.72788,0
2.82743,1.80642,0
2.82743,1.88496,0
2.82743,1.9635,0
2.82743,2.04204,0
2.82743,2.12058,0
2.82743,2.19911,0
2.82743,2.27765,0
2.82743,2.35619,0
2.82743,2.43473,0
2.82743,2.51327,0
2.82743,2.59181,0
2.82743,2.67035,0
2.82743,2.74889,0
2.82743,2.82743,0
2.82743,2.90597,0
2.82743,2.98451,0
2.82743,3.06305,0
2.82743,3.14159,0
2.98451,0,0
2.98451,0.0785398,0
2.98451,0.15708,0.459165
2.98451,0.235619,0.439901
2.98451,0.314159,0.418812
2.98451,0.392699,0.373353
2.98451,0.471239,0.296405
2.98451,0.549779,0.25412
2.98451,0.628319,0.233739
2.98451,0.706858,0.176892
2.98451,0.785398,0.123656
2.98451,0.863938,0.108877
2.98451,0.942478,0
2.98451,1.02102,0
2.98451,1.09956,0
2.98451,1.1781,0
2.98451,1.25664,0
2.98451,1.33518,0
2.98451,1.41372,0
2.98451,1.49226,0
2.98451,1.5708,0
2.98451,1.64934,0
2.98451,1.72788,0
2.98451,1.80642,0
2.98451,1.88496,0
2.98451,1.9635,0
2.98451,2.04204,0
2.98451,2.12058,0
2.98451,2.19911,0
2.98451,2.27765,0
2.98451,2.35619,0
2.98451,2.43473,0
2.98451,2.51327,0
2.98451,2.59181,0
2.98451,2.67035,0
2.98451,2.74889,0
2.98451,2.82743,0
2.98451,2.90597,0
2.98451,2.98451,0
2.98451,3.06305,0
2.98451,3.14159,0
3.14159,0,0.546864
3.14159,0.0785398,0.535346
3.14159,0.15708,0.519886
3.14159,0.235619,0.479768
3.14159,0.314159,0.456513
3.14159,0.392699,0.406797
3.14159,0.471239,0.35607
3.14159,0.549779,0.307002
3.14159,0.628319,0.261088
3.14159,0.706858,0.219003
3.14159,0.785398,0.180905
3.14159,0.863938,0.163317
3.14159,0.942478,0
3.14159,1.02102,0
3.14159,1.09956,0
3.14159,1.1781,0
3.14159,1.25664,0
3.14159,1.33518,0
3.14159,1.41372,0
3.14159,1.49226,0
3.14159,1.5708,0
3.14159,1.64934,0
3.14159,1.72788,0
3.14159,1.80642,0
3.14159,1.88496,0
3.14159,1.9635,0
3.14159,2.04204,0
3.14159,2.12058,0
3.14159,2.19911,0
3.14159,2.27765,0
3.14159,2.35619,0
3.14159,2.43473,0
3.14159,2.51327,0
3.14159,2.59181,0
3.14159,2.67035,0
3.14159,2.74889,0
3.14159,2.82743,0
3.14159,2.90597,0
3.14159,2.98451,0
3.14159,3.06305,0
3.14159,3.14159,0
3.29867,0,0.546864
3.29867,0.0785398,0.655946
3.29867,0.15708,0.628968
3.29867,0.235619,0.518982
3.29867,0.314159,0.466694
3.29867,0.392699,0.439358
3.29867,0.471239,0.411923
3.29867,0.549779,0.3568
3.29867,0.628319,0.330586
3.29867,0.706858,0.258925
3.29867,0.785398,0.234129
3.29867,0.863938,0.214123
3.29867,0.942478,0
3.29867,1.02102,0
3.29867,1.09956,0
3.29867,1.1781,0
3.29867,1.25664,0
3.29867,1.33518,0
3.29867,1.41372,0
3.29867,1.49226,0
3.29867,1.5708,0
3.29867,1.64934,0
3.29867,1.72788,0
3.29867,1.80642,0
3.29867,1.88496,0
3.29867,1.9635,0
3.29867,2.04204,0
3.29867,2.12058,0
3.29867,2.19911,0
3.29867,2.27765,0
3.29867,2.35619,0
3.29867,2.43473,0
3.29867,2.51327,0
3.29867,2.59181,0
3.29867,2.67035,0
3.29867,2.74889,0
3.29867,2.82743,0
3.29867,2.90597,0
3.29867,2.98451,0
3.29867,3.06305,0
3.29867,3.14159,0
3.45575,0,0
3.45575,0.0785398,0.67257
3.45575,0.15708,0.651684
3.45575,0.235619,0.542602
3.45575,0.314159,0.529089
3.45575,0.392699,0.500072
3.45575,0.471239,0.438273
3.45575,0.549779,0.408553
3.45575,0.628319,0.372968
3.45575,0.706858,0.337348
3.45575,0.785398,0.288372
