Theta,Phi,Value
3.45575,1.9635,0
3.45575,2.04204,0
3.45575,2.12058,0
3.45575,2.19911,0
3.45575,2.27765,0
3.45575,2.35619,0
3.45575,2.43473,0
3.45575,2.51327,0
3.45575,2.59181,0
3.45575,2.67035,0
3.45575,2.74889,0
3.45575,2.82743,0
3.45575,2.90597,0
3.45575,2.98451,0
3.45575,3.06305,0
3.45575,3.14159,0
3.61283,0,0
3.61283,0.0785398,0.984456
3.61283,0.15708,0.984456
3.61283,0.235619,0.973155
3.61283,0.314159,0.983485
3.61283,0.392699,0.92884
3.61283,0.471239,0.864022
3.61283,0.549779,0.846394
3.61283,0.628319,0.767673
3.61283,0.706858,0.691206
3.61283,0.785398,0.619868
3.61283,0.863938,0.51555
3.61283,0.942478,0.533303
3.61283,1.02102,0
3.61283,1.09956,0
3.61283,1.1781,0
3.61283,1.25664,0
3.61283,1.33518,0
3.61283,1.41372,0
3.61283,1.49226,0
3.61283,1.5708,0
3.61283,1.64934,0
3.61283,1.72788,0
3.61283,1.80642,0
3.61283,1.88496,0
3.61283,1.9635,0
3.61283,2.04204,0
3.61283,2.12058,0
3.61283,2.19911,0
3.61283,2.27765,0
3.61283,2.35619,0
3.61283,2.43473,0
3.61283,2.51327,0
3.61283,2.59181,0
3.61283,2.67035,0
3.61283,2.74889,0
3.61283,2.82743,0
3.61283,2.90597,0
3.61283,2.98451,0
3.61283,3.06305,0
3.61283,3.14159,0
3.76991,0,0
3.76991,0.0785398,0.921313
3.76991,0.15708,0.921313
3.76991,0.235619,0.941176
3.76991,0.314159,0.941176
3.76991,0.392699,0.942919
3.76991,0.471239,0.876147
3.76991,0.549779,0.854352
3.76991,0.628319,0.795926
3.76991,0.706858,0.714047
3.76991,0.785398,0.639169
3.76991,0.863938,0.584169
3.76991,0.942478,0.533064
3.76991,1.02102,0.554658
3.76991,1.09956,0
3.76991,1.1781,0
3.76991,1.25664,0
3.76991,1.33518,0
3.76991,1.41372,0
3.76991,1.49226,0
3.76991,1.5708,0
3.76991,1.64934,0
3.76991,1.72788,0
3.76991,1.80642,0
3.76991,1.88496,0
3.76991,1.9635,0
3.76991,2.04204,0
3.76991,2.12058,0
3.76991,2.19911,0
3.76991,2.27765,0
3.76991,2.35619,0
3.76991,2.43473,0
3.76991,2.51327,0
3.76991,2.59181,0
3.76991,2.67035,0
3.76991,2.74889,0
3.76991,2.82743,0
3.76991,2.90597,0
3.76991,2.98451,0
3.76991,3.06305,0
3.76991,3.14159,0
3.92699,0,0.21248
3.92699,0.0785398,0.906487
3.92699,0.15708,0.941871
3.92699,0.235619,0.862317
3.92699,0.314159,0.869657
3.92699,0.392699,0.863719
3.92699,0.471239,0.846872
3.92699,0.549779,0.843224
3.92699,0.628319,0.759108
3.92699,0.706858,0.734828
3.92699,0.785398,0.663875
3.92699,0.863938,0.599358
3.92699,0.942478,0.512945
3.92699,1.02102,0.492121
3.92699,1.09956,0.496988
3.92699,1.1781,0
3.92699,1.25664,0
3.92699,1.33518,0
3.92699,1.41372,0
3.92699,1.49226,0
3.92699,1.5708,0
3.92699,1.64934,0
3.92699,1.72788,0
3.92699,1.80642,0
3.92699,1.88496,0
3.92699,1.9635,0
3.92699,2.04204,0
3.92699,2.12058,0
3.92699,2.19911,0
3.92699,2.27765,0
3.92699,2.35619,0
3.92699,2.43473,0
3.92699,2.51327,0
3.92699,2.59181,0
3.92699,2.67035,0
3.92699,2.74889,0
3.92699,2.82743,0
3.92699,2.90597,0
3.92699,2.98451,0
3.92699,3.06305,0
3.92699,3.14159,0
4.08407,0,0.176625
4.08407,0.0785398,0.89778
4.08407,0.15708,0.763171
4.08407,0.235619,0.788603
4.08407,0.314159,0.797777
4.08407,0.392699,0.789862
4.08407,0.471239,0.771134
4.08407,0.549779,0.758666
4.08407,0.628319,0.72408
4.08407,0.706858,0.655791
4.08407,0.785398,0.62111
4.08407,0.863938,0.55694
4.08407,0.942478,0.500473
